author,title,journal,month,year,volume2,number,publisher,pages,annote
Bilal10,biblography,Journal,may,2021,volume2,923455292157,ownPublication1,201,annotee10
Bilal9,biblography,Journal,may,2021,volume2,923455292157,ownPublication2,201,annotee9
Bilal8,biblography,Journal,may,2021,volume2,923455292157,ownPublication3,201,annotee8
Bilal7,biblography,Journal,may,2021,volume2,923455292157,ownPublication4,201,annotee7
Bilal6,biblography,Journal,may,2021,volume2,923455292157,ownPublication5,201,annotee6
Bilal5,biblography,Journal,may,2021,volume2,923455292157,ownPublication6,201,annotee5
Bilal4,biblography,Journal,may,2021,volume2,923455292157,ownPublication7,201,annotee4
Bilal3,biblography,Journal,may,2021,volume2,923455292157,ownPublication8,201,annotee3
Bilal2,2biblography,Journal,may,2021,volume2,923455292157,ownPublication9,201,annotee2
Bilal1,biblography,Journal,may,2021,volume2,923455292157,ownPublication10,201,annotee1
